Date,Symbol,Open,High,Low,Close,Adj Close,Volume
19-09-2011,ASTRAL,22.200005,22.542006,22.200005,22.320005,21.962229,59949
20-09-2011,ASTRAL,22.080006,23.040005,22.080006,22.428005,22.068493,47616
21-09-2011,ASTRAL,22.536005,22.536005,21.600004,21.912004,21.560766,55383
22-09-2011,ASTRAL,22.956005,26.298006,22.956005,26.094006,25.675737,4219573
23-09-2011,ASTRAL,26.310005,27.408007,23.520004,23.820005,23.438179,1986557
26-09-2011,ASTRAL,24.240005,25.056005,22.218004,22.470005,22.109825,503408
27-09-2011,ASTRAL,22.800005,23.724005,22.392006,22.950005,22.582129,179991
28-09-2011,ASTRAL,23.760006,23.760006,22.398005,22.518005,22.157053,77783
29-09-2011,ASTRAL,22.224005,22.752005,22.098005,22.326006,21.968134,126758
30-09-2011,ASTRAL,21.900005,23.040005,21.900005,22.458006,22.098015,71199
03-10-2011,ASTRAL,22.080006,23.124004,21.726006,22.992004,22.623457,95324
04-10-2011,ASTRAL,22.794004,22.896006,22.476006,22.800005,22.434536,33133
05-10-2011,ASTRAL,22.446005,22.956005,22.446005,22.812004,22.446339,14408
07-10-2011,ASTRAL,23.280005,23.760006,22.452005,22.932005,22.564417,32508
10-10-2011,ASTRAL,22.806005,23.520004,22.710005,23.382006,23.007202,59941
11-10-2011,ASTRAL,23.628004,23.628004,22.950005,23.142006,22.771049,26308
12-10-2011,ASTRAL,22.812004,23.400005,22.812004,23.172005,22.800566,30291
13-10-2011,ASTRAL,23.340006,23.604006,23.004005,23.256004,22.883221,44583
14-10-2011,ASTRAL,23.028006,23.760006,22.830006,23.622005,23.243359,85533
17-10-2011,ASTRAL,23.292006,24.000006,22.926004,23.748005,23.367336,47758
18-10-2011,ASTRAL,23.994005,24.000006,23.538006,23.856005,23.473604,67158
19-10-2011,ASTRAL,23.646006,24.234007,23.280005,24.042006,23.656626,15649
20-10-2011,ASTRAL,24.000006,24.000006,23.406006,23.748005,23.367336,56666
21-10-2011,ASTRAL,23.064005,23.976006,23.064005,23.712006,23.331913,87699
24-10-2011,ASTRAL,23.784004,23.784004,22.680004,23.172005,22.800566,78774
25-10-2011,ASTRAL,22.824005,23.250006,22.680004,22.752005,22.387308,186608
28-10-2011,ASTRAL,23.922005,23.922005,22.752005,22.914005,22.546705,40766
31-10-2011,ASTRAL,23.214005,23.214005,22.824005,23.010006,22.641172,12899
01-11-2011,ASTRAL,22.920006,23.184006,22.830006,22.902004,22.534897,61583
02-11-2011,ASTRAL,22.800005,22.914005,22.458006,22.800005,22.434536,113549
03-11-2011,ASTRAL,22.800005,22.884005,22.200005,22.542006,22.180674,127808
04-11-2011,ASTRAL,21.960005,22.800005,21.960005,22.458006,22.098015,36466
08-11-2011,ASTRAL,22.560005,22.560005,22.206005,22.470005,22.109825,144433
09-11-2011,ASTRAL,22.680004,22.764006,22.398005,22.542006,22.180674,14441
11-11-2011,ASTRAL,22.440004,22.920006,22.350004,22.554005,22.192478,75499
14-11-2011,ASTRAL,22.350004,22.734005,22.074005,22.200005,21.844147,56766
15-11-2011,ASTRAL,22.560005,22.560005,20.604006,21.186005,20.846403,21324
16-11-2011,ASTRAL,21.594006,21.900005,20.400005,21.444004,21.100269,39849
