Date,Symbol,Open,High,Low,Close,Adj Close,Volume
30-06-2017,CDSL,250,269.950012,250,261.75,248.795624,49138291
03-07-2017,CDSL,262,264.700012,243.149994,262.149994,249.175827,14445613
04-07-2017,CDSL,263.5,270.899994,263,265.299988,252.169907,4484530
05-07-2017,CDSL,265.899994,266.5,262.149994,263.950012,250.886734,1877748
06-07-2017,CDSL,264.399994,298.399994,262.399994,293.899994,279.354462,17400331
07-07-2017,CDSL,290.100006,344.799988,290,331.149994,314.760895,38221190
10-07-2017,CDSL,335,364.799988,335,354.149994,336.62262,8845383
11-07-2017,CDSL,357.700012,386.399994,357.700012,381.700012,362.809143,23411261
12-07-2017,CDSL,393.149994,409,390.600006,403.950012,383.957947,17877965
13-07-2017,CDSL,417,444.299988,408.399994,444.299988,422.310913,15896817
14-07-2017,CDSL,471.149994,486,399.899994,399.899994,380.108368,31052454
17-07-2017,CDSL,388.5,396.799988,370,381.549988,362.666565,15705997
18-07-2017,CDSL,375,392,371,382.350006,363.426941,5308410
19-07-2017,CDSL,385.799988,389.700012,376.399994,379,360.242737,2577313
20-07-2017,CDSL,381.899994,384.700012,363.399994,373.600006,355.109985,6222337
21-07-2017,CDSL,374.700012,381.450012,368.25,370.350006,352.020874,2469984
24-07-2017,CDSL,371.799988,376,362.5,363.850006,345.842529,2293565
25-07-2017,CDSL,365.75,374.5,363.100006,363.700012,345.700012,2760857
26-07-2017,CDSL,365.200012,367,355,355.700012,338.095917,1931369
27-07-2017,CDSL,356.299988,359.799988,343,344.149994,327.117523,2850106
28-07-2017,CDSL,340,378.549988,337.5,373.549988,355.062469,10446183
31-07-2017,CDSL,370,370,338,339.600006,322.792725,7912135
01-08-2017,CDSL,342.5,348,335.649994,337.299988,320.606537,2889107
02-08-2017,CDSL,337,347.850006,336.200012,337.450012,320.749115,3677085
03-08-2017,CDSL,337.399994,342.700012,325.100006,327.100006,310.911346,2552070
04-08-2017,CDSL,327.799988,328.350006,309.399994,311.700012,296.273529,3544659
07-08-2017,CDSL,312.700012,338.600006,308.049988,333.350006,316.852051,7715813
08-08-2017,CDSL,335.5,336.25,322.100006,325.75,309.628143,2688517
09-08-2017,CDSL,322.899994,326.950012,317.5,319.450012,303.639984,1582568
10-08-2017,CDSL,316.75,321,298,301.25,286.340698,2718480
11-08-2017,CDSL,296.899994,311,291.100006,304.549988,289.477356,2949441
14-08-2017,CDSL,312,319.799988,310.600006,316,300.360687,1513613
16-08-2017,CDSL,319.649994,331,315.200012,326.25,310.103424,2758656
17-08-2017,CDSL,327.850006,332.799988,325,327.600006,311.386597,1480926
18-08-2017,CDSL,325,325,317,321.350006,305.445923,1026505
21-08-2017,CDSL,323,343.450012,321.600006,330.850006,314.475739,4886628
22-08-2017,CDSL,334,336.700012,326.5,328.600006,312.337128,1285706
23-08-2017,CDSL,331,336.450012,328.600006,332.75,316.281738,1383990
24-08-2017,CDSL,334,335,330.149994,331,314.618347,757308
28-08-2017,CDSL,332.600006,344.600006,331.600006,341.149994,324.265991,2584839
29-08-2017,CDSL,338.399994,345.899994,333.649994,334.450012,317.897614,2262605
30-08-2017,CDSL,337.950012,342.799988,337.600006,340.100006,323.267975,1247379
