Date,Symbol,Open,High,Low,Close,Adj Close,Volume
19-09-2011,IGL,85.599998,87,85.099998,86.660004,77.409081,839105
20-09-2011,IGL,86.230003,88,86.230003,87.610001,78.257668,1407535
21-09-2011,IGL,87.839996,88.400002,87.260002,87.910004,78.525658,624830
22-09-2011,IGL,87.010002,87.559998,85.599998,86.07,76.882065,707275
23-09-2011,IGL,85.989998,85.989998,80.610001,84.379997,75.372467,2428485
26-09-2011,IGL,84.279999,84.800003,81.400002,82.43,73.630638,1577540
27-09-2011,IGL,82.879997,85.650002,82.879997,84.989998,75.917343,1949610
28-09-2011,IGL,86.800003,86.870003,83.599998,84.980003,75.908424,1605385
29-09-2011,IGL,83.599998,86.290001,83.050003,84.900002,75.836975,3162700
30-09-2011,IGL,85.760002,86.900002,84.889999,85.07,75.9888,3187155
03-10-2011,IGL,85.580002,86.400002,84.25,85.870003,76.703415,3109375
04-10-2011,IGL,86.389999,86.540001,85.599998,85.910004,76.739151,2573650
05-10-2011,IGL,86.309998,86.5,85.900002,86.019997,76.837395,1537840
07-10-2011,IGL,86.199997,87.800003,83.599998,85.400002,76.283592,2836445
10-10-2011,IGL,85.989998,86.400002,84.410004,86.040001,76.85527,1965675
11-10-2011,IGL,85.940002,86.800003,85,85.18,76.087067,1642895
12-10-2011,IGL,85.739998,86.089996,84.830002,85.370003,76.256783,1463995
13-10-2011,IGL,85.75,85.75,84.239998,84.709999,75.667244,570290
14-10-2011,IGL,81.639999,84.400002,81.599998,81.830002,73.094688,1434275
17-10-2011,IGL,82.330002,82.639999,78.209999,79.160004,70.709709,2003625
18-10-2011,IGL,79,80.5,77.260002,79.150002,70.700783,3736330
19-10-2011,IGL,80.040001,80.790001,77.5,79.489998,71.004471,4032425
20-10-2011,IGL,79.959999,80.199997,78.610001,79.529999,71.040215,2863250
21-10-2011,IGL,80.790001,80.790001,78.830002,79.910004,71.379639,352045
24-10-2011,IGL,80.410004,81.160004,80,80.860001,72.228226,824650
25-10-2011,IGL,81,81.300003,79.199997,79.730003,71.218857,1268475
28-10-2011,IGL,81.199997,82.25,80.260002,81.980003,73.228661,518005
31-10-2011,IGL,81.510002,83.800003,80.010002,83.300003,74.407761,881055
01-11-2011,IGL,84.400002,84.400002,82.989998,83.519997,74.604271,746785
02-11-2011,IGL,83.330002,85.730003,82.75,84.720001,75.67617,1152740
03-11-2011,IGL,84.949997,85.580002,82.830002,83.839996,74.890114,1229280
04-11-2011,IGL,83.830002,85.379997,83.800003,84.029999,75.05983,1257260
08-11-2011,IGL,84.309998,85,83,84.25,75.25634,1586610
09-11-2011,IGL,83.989998,84.580002,82.910004,84.080002,75.104485,330780
11-11-2011,IGL,83.260002,86.360001,83,85.779999,76.623009,1876665
14-11-2011,IGL,86,87.400002,85,85.489998,76.363976,1118460
15-11-2011,IGL,85,85,83.75,84.010002,75.041962,588655
16-11-2011,IGL,82.900002,83.959999,80.709999,82.620003,73.800362,715005
17-11-2011,IGL,82.389999,82.889999,78.040001,78.82,70.406006,2962185
18-11-2011,IGL,77.010002,78.330002,75.980003,76.839996,68.63736,5318435
21-11-2011,IGL,76.220001,79.980003,75,78.349998,69.986168,1988075
