Date,Symbol,Open,High,Low,Close,Adj Close,Volume
19-09-2011,RELAXO,18.9,20.549999,18.75,20.372499,20.007055,1200420
20-09-2011,RELAXO,20.549999,21.145,20.200001,20.497499,20.129814,94780
21-09-2011,RELAXO,20.502501,20.975,20.25,20.790001,20.417068,34940
22-09-2011,RELAXO,20.8025,20.8025,20.004999,20.3825,20.016878,129060
23-09-2011,RELAXO,19.327499,20.254999,19.25,19.9575,19.599503,30320
26-09-2011,RELAXO,19.299999,19.987499,19.299999,19.700001,19.346621,14800
27-09-2011,RELAXO,19.9,20.950001,19.9,20.865,20.490721,24060
28-09-2011,RELAXO,21,21.4,20.5,21.1075,20.72887,101300
29-09-2011,RELAXO,21.5975,21.65,21.200001,21.592501,21.205173,42660
30-09-2011,RELAXO,21.75,22.245001,21.2575,21.997499,21.602907,41600
03-10-2011,RELAXO,20.780001,21.9925,20.780001,21.184999,20.804981,43580
04-10-2011,RELAXO,21.25,22.4475,21.25,22.16,21.762493,32340
05-10-2011,RELAXO,22.245001,22.5,21.200001,21.575001,21.187988,12820
07-10-2011,RELAXO,21.27,21.950001,21.27,21.405001,21.021032,5520
10-10-2011,RELAXO,21.405001,21.85,21.200001,21.32,20.937557,5700
11-10-2011,RELAXO,21,21.799999,21,21.76,21.369665,25000
12-10-2011,RELAXO,21.2675,21.735001,21.200001,21.325001,20.942474,8180
13-10-2011,RELAXO,22.15,22.15,21.450001,21.747499,21.357389,46140
14-10-2011,RELAXO,21.502501,21.6875,21.2575,21.282499,20.90073,800
17-10-2011,RELAXO,21.030001,22.950001,21.004999,22.344999,21.944174,143300
18-10-2011,RELAXO,22.35,23,22.35,22.592501,22.187235,48040
19-10-2011,RELAXO,22.9,23.245001,22.65,23.120001,22.705271,23100
20-10-2011,RELAXO,23.395,23.65,21.620001,22.247499,21.848421,48160
21-10-2011,RELAXO,22.1,22.49,21.950001,22,21.605364,41620
24-10-2011,RELAXO,22.334999,22.334999,21.65,21.74,21.350025,2760
