Date,Symbol,Open,High,Low,Close,Adj Close,Volume
21-09-2020,ROUTE,717,735,625,651.299988,650.698425,29189613
22-09-2020,ROUTE,664.700012,703.900024,635.849976,694.25,693.608765,6302377
23-09-2020,ROUTE,714,833.099976,708.150024,824.25,823.488708,14866529
24-09-2020,ROUTE,830.5,978.599976,806.299988,903.599976,902.765381,17844880
25-09-2020,ROUTE,932,988,896.400024,938.799988,937.932861,9589972
28-09-2020,ROUTE,944.950012,969,910,919.650024,918.800598,2803949
29-09-2020,ROUTE,927,933.75,827.700012,827.700012,826.935547,3583098
30-09-2020,ROUTE,785,847,772.200012,806.75,806.004883,4641613
01-10-2020,ROUTE,821,832,758,783.450012,782.726379,1835678
05-10-2020,ROUTE,790.650024,849.400024,771.150024,827.400024,826.635803,3141795
06-10-2020,ROUTE,835,835,801.099976,806.650024,805.904968,916522
07-10-2020,ROUTE,809,809,780.200012,784.549988,783.825378,621669
08-10-2020,ROUTE,784,828.799988,782,798.900024,798.162109,1414742
09-10-2020,ROUTE,803.700012,806.200012,782,788,787.272156,368973
12-10-2020,ROUTE,789.900024,790,758.25,765.099976,764.393311,389181
13-10-2020,ROUTE,765.099976,799,753.049988,778.150024,777.431274,759721
14-10-2020,ROUTE,778.799988,791.849976,768.200012,772.599976,771.886353,398436
15-10-2020,ROUTE,780,781,751.150024,763.950012,763.244385,298018
16-10-2020,ROUTE,770,770,687.599976,708.400024,707.745728,3318511
19-10-2020,ROUTE,720.849976,743.799988,706.549988,715.75,715.088928,1516686
20-10-2020,ROUTE,715,727.349976,707,720.349976,719.684631,552843
21-10-2020,ROUTE,728,776.599976,720.049988,752.700012,752.004822,1852610
22-10-2020,ROUTE,751.799988,827.950012,741.650024,821.849976,821.090881,2743903
23-10-2020,ROUTE,832,841.299988,790,803.200012,802.45813,1717356
26-10-2020,ROUTE,798,814.700012,777.700012,795.450012,794.715332,559405
27-10-2020,ROUTE,801,840,772,829.650024,828.883728,1060731
28-10-2020,ROUTE,835,912.599976,829.650024,912.599976,911.75708,3837737
29-10-2020,ROUTE,914.900024,989.900024,885.299988,949.150024,948.273376,4018948
30-10-2020,ROUTE,945,1012.900024,934.400024,997.200012,996.278992,2158085
02-11-2020,ROUTE,990.900024,1096.900024,982.349976,1096.900024,1095.886841,2019426
03-11-2020,ROUTE,1151.699951,1151.699951,1042.099976,1042.099976,1041.137451,1365938
04-11-2020,ROUTE,990,1029,990,990,989.085632,348589
05-11-2020,ROUTE,966.099976,994.400024,940.5,940.5,939.631348,1119805
06-11-2020,ROUTE,939,985,905.599976,926.200012,925.344543,1801765
09-11-2020,ROUTE,932,955,916,933.5,932.637817,692745
10-11-2020,ROUTE,940,940,905.099976,914.549988,913.705261,440363
11-11-2020,ROUTE,915,918,885,900.700012,899.868103,451820
12-11-2020,ROUTE,900,945.700012,892.349976,923.950012,923.096619,645493
13-11-2020,ROUTE,925,939.900024,916.25,919.450012,918.600769,299782
14-11-2020,ROUTE,null,null,null,null,null,null
17-11-2020,ROUTE,933.599976,967.849976,918,940.950012,940.080933,537915
18-11-2020,ROUTE,945,951,925.25,931.200012,930.339905,269755
