Date,Symbol,Open,High,Low,Close,Adj Close,Volume
16-03-2020,SBICARD,661,755,656,681.400024,680.13501,60887005
17-03-2020,SBICARD,691,747.950012,689,730.900024,729.543091,15145135
18-03-2020,SBICARD,752.099976,769,680,689.200012,687.920532,8949832
19-03-2020,SBICARD,660,717,650,692.049988,690.765198,6432046
20-03-2020,SBICARD,706.25,730,690.25,724.5,723.154968,6492226
23-03-2020,SBICARD,659,698,580,582.400024,581.318787,6260086
24-03-2020,SBICARD,620,623.950012,575.049988,613.700012,612.560669,4019306
25-03-2020,SBICARD,601,648.900024,591.400024,624.950012,623.789795,3487615
26-03-2020,SBICARD,634,693.799988,621.450012,650.950012,649.741516,4360453
27-03-2020,SBICARD,675,690,650,655.900024,654.682312,3114532
30-03-2020,SBICARD,640,642.700012,607,615.349976,614.207581,1791851
31-03-2020,SBICARD,635,638,608.549988,618.650024,617.501526,2334476
01-04-2020,SBICARD,624,624,601.25,608.049988,606.921143,1500748
03-04-2020,SBICARD,613.799988,614.700012,588,590.25,589.154175,1693653
07-04-2020,SBICARD,605,611,582,586.049988,584.961975,3137346
08-04-2020,SBICARD,584.799988,598.400024,576,579.5,578.424133,3090942
09-04-2020,SBICARD,585.049988,614.25,575,595.200012,594.095032,6139508
13-04-2020,SBICARD,580,581.5,501.100006,505.5,504.561523,22872176
15-04-2020,SBICARD,510,524.450012,502,504.649994,503.713104,8436630
16-04-2020,SBICARD,505,537.200012,501,532.099976,531.112122,8012039
17-04-2020,SBICARD,546,548.799988,523,530.5,529.515137,6749997
20-04-2020,SBICARD,534.75,548.900024,528.5,540.099976,539.09729,5766094
21-04-2020,SBICARD,528.900024,534.900024,518,525.900024,524.923706,3249266
22-04-2020,SBICARD,527,535.700012,520.099976,532.400024,531.411621,2719250
23-04-2020,SBICARD,539,574,535,560.950012,559.90863,4983300
24-04-2020,SBICARD,557.700012,596.450012,552.099976,557.849976,556.814331,7823763
27-04-2020,SBICARD,563.700012,575,542.849976,552.700012,551.67395,3304382
28-04-2020,SBICARD,556,562.450012,547.450012,550.900024,549.877258,1975797
29-04-2020,SBICARD,555.400024,584,548.400024,577.5,576.427856,6121254
30-04-2020,SBICARD,591,604.900024,585,599.150024,598.03772,6038250
04-05-2020,SBICARD,566.200012,578,566.200012,568.450012,567.394653,2066273
05-05-2020,SBICARD,577.75,584.299988,550.599976,553,551.973328,2247743
06-05-2020,SBICARD,557,569,542,565.650024,564.599915,2355709
07-05-2020,SBICARD,563,579,558.900024,574.450012,573.383545,2201860
08-05-2020,SBICARD,585,586,548.599976,561.950012,560.906738,5124992
11-05-2020,SBICARD,552,561,543,548.5,547.481689,2746613
12-05-2020,SBICARD,542,548.349976,530.200012,543.099976,542.091736,2114725
13-05-2020,SBICARD,570,570.549988,545.25,548.299988,547.282043,2376104
14-05-2020,SBICARD,543,545.75,537.099976,538.650024,537.650024,1456710
15-05-2020,SBICARD,542,544,535.25,539.450012,539.450012,1044610
18-05-2020,SBICARD,540,540,526,528.900024,528.900024,1212869
19-05-2020,SBICARD,535,540,529.150024,537.650024,537.650024,1329747
20-05-2020,SBICARD,537,548,534.599976,536.75,536.75,1142401
21-05-2020,SBICARD,539.400024,546.799988,536.150024,542.349976,542.349976,1181440
22-05-2020,SBICARD,541.400024,546.299988,495,509.549988,509.549988,5257005
26-05-2020,SBICARD,515,518,496.5,498.75,498.75,4517594
27-05-2020,SBICARD,501.600006,521.099976,496,517.450012,517.450012,3008219
28-05-2020,SBICARD,520,537.75,518.150024,532.299988,532.299988,2381056
29-05-2020,SBICARD,528,541.650024,524.200012,538.849976,538.849976,1540576
