Date,Symbol,Open,High,Low,Close,Adj Close,Volume
17-11-2017,HDFCLIFE,310,369,307,344.600006,340.845947,168836552
20-11-2017,HDFCLIFE,344.700012,358.899994,344,355.350006,351.478882,14650240
21-11-2017,HDFCLIFE,356.399994,418.899994,352.5,385.299988,381.102539,43078194
22-11-2017,HDFCLIFE,388,408,386.899994,395.200012,390.894714,15227642
23-11-2017,HDFCLIFE,390,392,371.100006,374.850006,370.766418,12300150
24-11-2017,HDFCLIFE,376.049988,383,366.100006,370.700012,366.661682,9463228
27-11-2017,HDFCLIFE,371,384.5,371,380.350006,376.206543,3832223
28-11-2017,HDFCLIFE,383,386.399994,378.100006,382.200012,378.036377,2409447
29-11-2017,HDFCLIFE,382.399994,384.700012,376.100006,377.799988,373.684265,1657909
30-11-2017,HDFCLIFE,379.799988,379.799988,370.799988,371.5,367.452911,2536960
01-12-2017,HDFCLIFE,373.700012,379.549988,368,372.75,368.689331,1904781
04-12-2017,HDFCLIFE,374.049988,374.899994,362,362.799988,358.847717,1323453
05-12-2017,HDFCLIFE,361,365.899994,357.149994,362.350006,358.402618,1806017
06-12-2017,HDFCLIFE,360.899994,371.700012,358.549988,368.350006,364.33725,3331373
07-12-2017,HDFCLIFE,370.049988,389.899994,370.049988,388.299988,384.069885,3350792
08-12-2017,HDFCLIFE,390,395.799988,385.600006,389.299988,385.059021,2494845
11-12-2017,HDFCLIFE,387,392.25,379.049988,380.799988,376.651581,1029719
12-12-2017,HDFCLIFE,380.899994,387,377.049988,383.799988,379.618896,2564559
13-12-2017,HDFCLIFE,386.450012,389.25,378.5,380.799988,376.651581,747787
14-12-2017,HDFCLIFE,382.850006,386,377,384.299988,380.113464,1261422
15-12-2017,HDFCLIFE,388,390.75,380.100006,381.399994,378.584839,1698848
18-12-2017,HDFCLIFE,380,383.299988,372.25,377.450012,374.664001,1399027
19-12-2017,HDFCLIFE,378,380.950012,372.25,374.899994,372.132813,1641589
20-12-2017,HDFCLIFE,377.450012,377.700012,371.5,375.149994,372.380981,2251770
21-12-2017,HDFCLIFE,379.25,381.799988,375,376.049988,373.274323,1448962
22-12-2017,HDFCLIFE,376.25,380.399994,374.200012,374.549988,371.7854,775946
26-12-2017,HDFCLIFE,376,378.600006,373.399994,376.549988,373.77063,1310649
27-12-2017,HDFCLIFE,375.100006,377.950012,373.799988,374.850006,372.083221,589597
28-12-2017,HDFCLIFE,375,380,372.399994,377.950012,375.160339,912189
29-12-2017,HDFCLIFE,379,390.799988,375.649994,386,383.150879,1611972
01-01-2018,HDFCLIFE,388.5,399.799988,386.549988,389.649994,386.773956,1445743
02-01-2018,HDFCLIFE,391.700012,398,384.350006,395.5,392.58075,1219713
03-01-2018,HDFCLIFE,398,398.299988,384.100006,385.649994,382.803467,2275082
04-01-2018,HDFCLIFE,390,401.950012,387.25,399,396.054932,2974278
05-01-2018,HDFCLIFE,401,412,398,407,403.995911,3554479
08-01-2018,HDFCLIFE,410,428.299988,409.549988,422.100006,418.984436,3806105
09-01-2018,HDFCLIFE,424,447.649994,422.649994,435.5,432.285522,6183645
10-01-2018,HDFCLIFE,438,441.899994,427,429.25,426.081665,2374166
11-01-2018,HDFCLIFE,424,449.799988,424,446.700012,443.402893,2604294
12-01-2018,HDFCLIFE,449.75,458.700012,444.299988,455.950012,452.584595,5364763
15-01-2018,HDFCLIFE,460,488,457,474.850006,471.345093,5635852
16-01-2018,HDFCLIFE,479.899994,494.299988,471.25,482.649994,479.087494,8288750
17-01-2018,HDFCLIFE,485.399994,488.200012,470,478.399994,474.868866,5691140
18-01-2018,HDFCLIFE,483.200012,489.799988,478,485.049988,481.469788,1772870
19-01-2018,HDFCLIFE,489.25,491.350006,477,481.5,477.945984,3488403
22-01-2018,HDFCLIFE,481.5,488.850006,469,470.200012,466.729431,3825798
23-01-2018,HDFCLIFE,474.25,474.25,454.5,458.549988,455.165375,3561221
24-01-2018,HDFCLIFE,457.5,460,448,455.25,451.88974,2072037
25-01-2018,HDFCLIFE,455,460,447,448.5,445.189575,1194340
29-01-2018,HDFCLIFE,447,452.600006,444.399994,445.350006,442.062836,1113037
30-01-2018,HDFCLIFE,444,448.100006,417,421.850006,418.736298,3583717
31-01-2018,HDFCLIFE,418.399994,432.899994,395.299988,427,423.848267,14738305
01-02-2018,HDFCLIFE,429.950012,452,423,448.25,444.941437,4965461
02-02-2018,HDFCLIFE,441,455,430,442.399994,439.134613,5311751
05-02-2018,HDFCLIFE,428.200012,444,422.350006,441.700012,438.439789,2268830
06-02-2018,HDFCLIFE,418,440.700012,417.049988,438.799988,435.561157,1893871
07-02-2018,HDFCLIFE,443,449.299988,431,433.450012,430.250671,1048027
08-02-2018,HDFCLIFE,434.899994,444.75,434.850006,441.5,438.241241,927897
