Date,Symbol,Open,High,Low,Close,Adj Close,Volume
19-09-2011,SIEMENS,860,861.599976,852,858.5,785.840332,73012
20-09-2011,SIEMENS,855.5,879.799988,852.200012,876.200012,802.042236,72491
21-09-2011,SIEMENS,876.200012,900,871.299988,897.900024,821.905701,110695
22-09-2011,SIEMENS,873.349976,883,846,854.150024,781.858582,158365
23-09-2011,SIEMENS,856,862.400024,842.099976,855.349976,782.956848,206755
26-09-2011,SIEMENS,855.349976,858,833,845.549988,773.986267,124244
27-09-2011,SIEMENS,847,860,847,855.099976,782.727966,74716
28-09-2011,SIEMENS,867,867,812.400024,833.400024,762.864685,182054
29-09-2011,SIEMENS,837.700012,865,820,859.950012,787.167603,163974
30-09-2011,SIEMENS,854,855.700012,823.950012,837.75,766.846558,307332
03-10-2011,SIEMENS,827.650024,833.950012,813,826.549988,756.59436,170692
04-10-2011,SIEMENS,820.049988,838.900024,815.25,830.950012,760.621948,127804
05-10-2011,SIEMENS,826.5,837.799988,816.650024,826.700012,756.731689,100354
07-10-2011,SIEMENS,835,856.700012,835,836.849976,766.022644,194949
10-10-2011,SIEMENS,836.849976,849.900024,825.099976,828.299988,758.19635,162201
11-10-2011,SIEMENS,837.799988,850,829.049988,830.75,760.439026,192460
12-10-2011,SIEMENS,841.700012,900,839.25,846.650024,774.993286,116842
13-10-2011,SIEMENS,848.099976,850.75,827.299988,837,766.159912,114047
14-10-2011,SIEMENS,843.650024,854.700012,836,844.799988,773.299866,91398
17-10-2011,SIEMENS,841,847.700012,824,825.200012,755.358704,89473
18-10-2011,SIEMENS,813,821.450012,804.099976,815.799988,746.754272,154700
19-10-2011,SIEMENS,821,834.849976,813,832.799988,762.315369,188673
20-10-2011,SIEMENS,825,829.75,806,811.049988,742.40625,138589
21-10-2011,SIEMENS,817.849976,825,811,822.700012,753.070251,93435
24-10-2011,SIEMENS,835,839.900024,814,817.099976,747.944092,255018
25-10-2011,SIEMENS,828,847,817,839.099976,768.082214,211994
28-10-2011,SIEMENS,849.950012,877.400024,847.950012,851.849976,779.753113,130716
31-10-2011,SIEMENS,852.950012,872.299988,852.549988,854.900024,782.544922,150376
01-11-2011,SIEMENS,855,865,838.049988,844.650024,773.162598,86200
02-11-2011,SIEMENS,840,857,839,852.700012,780.531189,63862
03-11-2011,SIEMENS,846.150024,860,837.099976,855.599976,783.18573,127543
04-11-2011,SIEMENS,855,869,855,861.950012,788.998352,116333
08-11-2011,SIEMENS,859,864.650024,844.349976,850.75,778.746155,82282
09-11-2011,SIEMENS,851.549988,854.950012,827,830.299988,760.027039,137567
11-11-2011,SIEMENS,825,834.75,821,829.349976,759.15741,119518
14-11-2011,SIEMENS,831.25,839,813,816.200012,747.120422,94163
15-11-2011,SIEMENS,816.200012,817,775,788.650024,721.9021,234241
16-11-2011,SIEMENS,782,786,740.099976,749.799988,686.340149,328552
17-11-2011,SIEMENS,748,748,715,721.700012,660.618469,236159
18-11-2011,SIEMENS,717,739.799988,702,731.150024,669.268494,182695
21-11-2011,SIEMENS,732,739.950012,716.400024,720.950012,659.931946,190644
22-11-2011,SIEMENS,729.900024,735,693.200012,699.549988,640.343079,437846
23-11-2011,SIEMENS,699,699,662.900024,682.5,624.736145,394304
24-11-2011,SIEMENS,681.5,696.75,652,686.150024,628.077332,337534
25-11-2011,SIEMENS,679.5,698.5,668,689.099976,630.777527,142400
28-11-2011,SIEMENS,704.900024,717.150024,680.200012,706,646.247253,326910
29-11-2011,SIEMENS,710,711.700012,691,697,638.00885,364151
30-11-2011,SIEMENS,697,701.400024,672,688.950012,630.64032,314386
01-12-2011,SIEMENS,705,713,695,700.799988,641.487305,210616
02-12-2011,SIEMENS,698,730,697.549988,723.450012,662.220276,158229
05-12-2011,SIEMENS,724.900024,735,710,718.25,657.460327,138818
07-12-2011,SIEMENS,720,729,715,727.549988,665.973328,92143
08-12-2011,SIEMENS,722,722.849976,705.049988,709.799988,649.725708,133104
09-12-2011,SIEMENS,704.299988,717.049988,680.049988,690.650024,632.196411,295417
12-12-2011,SIEMENS,700,700,672.349976,680.150024,622.585144,313315
13-12-2011,SIEMENS,680,690,659.599976,682.400024,624.644653,255544
14-12-2011,SIEMENS,673.25,679.799988,665.700012,669.75,613.065247,119467
15-12-2011,SIEMENS,665,679.400024,661.200012,668.599976,612.012634,210436
16-12-2011,SIEMENS,668,680,642.349976,649.349976,594.391724,287057
19-12-2011,SIEMENS,647.450012,649,638,643.849976,589.3573,235987
20-12-2011,SIEMENS,643.049988,648.900024,626.700012,630.349976,576.999878,157585
21-12-2011,SIEMENS,640.049988,659,635,654.049988,598.694031,160117
22-12-2011,SIEMENS,655.900024,663.75,641,649.700012,594.712158,167524
23-12-2011,SIEMENS,650,665,647.950012,657.900024,602.218201,192008
26-12-2011,SIEMENS,659,670.799988,650.099976,653.150024,597.870239,191372
27-12-2011,SIEMENS,653,669.400024,646.099976,665.549988,609.220703,111233
28-12-2011,SIEMENS,669.5,675,654.549988,656.849976,601.257019,132742
29-12-2011,SIEMENS,656,656,632.700012,638.400024,584.368591,214155
30-12-2011,SIEMENS,640,651.900024,639,642,587.66394,153162
02-01-2012,SIEMENS,646.549988,650,631.75,638.150024,584.139709,58220
03-01-2012,SIEMENS,644.900024,670,640,667.049988,610.593872,271312
04-01-2012,SIEMENS,669,672.950012,656.299988,664.5,608.259644,138756
05-01-2012,SIEMENS,660.099976,667,655,660.450012,604.552368,156213
06-01-2012,SIEMENS,660,671.549988,647.099976,667.200012,610.731201,128131
07-01-2012,SIEMENS,null,null,null,null,null,null
09-01-2012,SIEMENS,670.900024,682.900024,669,678.900024,621.440918,177261
10-01-2012,SIEMENS,681,711,681,707.150024,647.299866,132223
11-01-2012,SIEMENS,705.950012,712.700012,698.650024,704.450012,644.82843,67453
12-01-2012,SIEMENS,707,739.599976,701.5,717.25,656.545105,142800
13-01-2012,SIEMENS,728.799988,728.900024,708,722.799988,661.625366,139674
16-01-2012,SIEMENS,720.799988,726.349976,715.5,721.200012,665.686768,117636
17-01-2012,SIEMENS,723.599976,755.5,723.599976,750.700012,692.916016,167208
18-01-2012,SIEMENS,752.849976,756.5,735.75,745.700012,688.300842,142469
19-01-2012,SIEMENS,750,755,738.049988,744.799988,687.470215,143108
20-01-2012,SIEMENS,743,761.599976,742.900024,753.75,695.731262,221450
23-01-2012,SIEMENS,752.549988,759.900024,746.049988,749.849976,692.131409,74269
24-01-2012,SIEMENS,749.849976,768,738.5,762.75,704.03833,460936
25-01-2012,SIEMENS,768,770,749.200012,752.599976,694.669739,273734
27-01-2012,SIEMENS,759.799988,759.799988,743.200012,753.700012,695.68512,186828
30-01-2012,SIEMENS,747,755.900024,735.5,741.299988,684.239441,185228
31-01-2012,SIEMENS,740,742.900024,708.849976,731.25,674.963135,854280
01-02-2012,SIEMENS,718,735.950012,713.900024,731.700012,675.378479,250860
02-02-2012,SIEMENS,735,739.049988,720,732.450012,676.07074,181451
03-02-2012,SIEMENS,731,752,731,749.950012,692.223694,291667
06-02-2012,SIEMENS,754.950012,783.599976,752,779.099976,719.129761,520694
07-02-2012,SIEMENS,780,790,770.049988,776.849976,717.053162,166133
08-02-2012,SIEMENS,780,787.75,769.75,785.099976,724.668091,144854
09-02-2012,SIEMENS,787.799988,803.299988,780.299988,801.150024,739.482727,188318
10-02-2012,SIEMENS,801,801,780.099976,790.349976,729.513977,146475
13-02-2012,SIEMENS,791,810.900024,780.349976,805.650024,743.636169,148208
14-02-2012,SIEMENS,803.400024,803.400024,786.849976,790.599976,729.744812,101080
15-02-2012,SIEMENS,796.950012,804.400024,792,798.950012,737.452026,81019
16-02-2012,SIEMENS,798.700012,803.950012,779.950012,799.450012,737.913452,57331
17-02-2012,SIEMENS,801,839.799988,793,821.75,758.497009,265569
21-02-2012,SIEMENS,823.200012,839,823.049988,827.25,763.573669,171638
22-02-2012,SIEMENS,829.900024,834.799988,800,808.5,746.266968,171599
23-02-2012,SIEMENS,808,825,800.200012,813.049988,750.466675,330526
24-02-2012,SIEMENS,800,822,787,792.099976,731.12915,167416
27-02-2012,SIEMENS,790,798,752.099976,773.400024,713.868652,182218
28-02-2012,SIEMENS,778,815.950012,768.099976,811.5,749.035889,195387
29-02-2012,SIEMENS,815,823.900024,790,796.25,734.959778,100575
01-03-2012,SIEMENS,791,817,782.099976,812.650024,750.097412,128486
02-03-2012,SIEMENS,812.700012,823,790,795.75,734.498352,150584
03-03-2012,SIEMENS,null,null,null,null,null,null
05-03-2012,SIEMENS,791,796,742.900024,766.400024,707.40741,151382
06-03-2012,SIEMENS,765,794.599976,760.049988,786.200012,725.68335,174183
07-03-2012,SIEMENS,785,796.950012,776,789.849976,729.052429,100097
09-03-2012,SIEMENS,789.950012,807.700012,782.950012,789.150024,728.406494,162670
12-03-2012,SIEMENS,800,812,790,807.75,745.574707,168178
13-03-2012,SIEMENS,813.950012,819.400024,802.299988,806.450012,744.374695,172539
14-03-2012,SIEMENS,811,818.049988,806.049988,810.700012,748.297546,120731
15-03-2012,SIEMENS,810,812,790.549988,803.150024,741.328735,133886
16-03-2012,SIEMENS,800,815,762.400024,772.150024,712.714966,210368
19-03-2012,SIEMENS,774.900024,783.150024,754.099976,774.900024,715.253235,138196
20-03-2012,SIEMENS,778.599976,788.900024,768,783.75,723.421936,154532
21-03-2012,SIEMENS,784.200012,811.700012,774.099976,801.400024,739.71344,159604
22-03-2012,SIEMENS,800,814,772.099976,787.599976,726.975647,201490
23-03-2012,SIEMENS,790,792.25,772.349976,778.599976,718.668457,117568
26-03-2012,SIEMENS,779,782,761.25,765.950012,706.992065,116724
27-03-2012,SIEMENS,781.5,784.950012,754.650024,760.799988,702.238586,167943
28-03-2012,SIEMENS,764.049988,775,755,770.099976,710.822632,90099
29-03-2012,SIEMENS,770,770,735.700012,745.450012,688.070068,268817
30-03-2012,SIEMENS,745.650024,761.799988,736.549988,759.5,701.038574,197960
02-04-2012,SIEMENS,751.150024,776.950012,751.150024,771.849976,712.437927,119787
03-04-2012,SIEMENS,775,793.799988,771.950012,788.799988,728.083252,102299
04-04-2012,SIEMENS,784.450012,793,780.099976,787.450012,726.837158,102981
09-04-2012,SIEMENS,787.75,789.450012,765,770.400024,711.099609,140061
10-04-2012,SIEMENS,765.200012,786,764.900024,781.450012,721.299133,108854
11-04-2012,SIEMENS,776,780,765,770.400024,711.099609,102905
12-04-2012,SIEMENS,772.349976,794,771,788.75,728.03717,111135
13-04-2012,SIEMENS,789.099976,817,787.200012,791.049988,730.160034,184877
16-04-2012,SIEMENS,785.25,809,781.799988,803.099976,741.28241,113529
17-04-2012,SIEMENS,799,819,793,812.950012,750.374329,156260
18-04-2012,SIEMENS,820,840,818.349976,830.450012,766.527344,296091
19-04-2012,SIEMENS,822.099976,832.400024,818.099976,829.950012,766.065796,128311
20-04-2012,SIEMENS,824.099976,831.650024,808.349976,810.900024,748.482178,114036
23-04-2012,SIEMENS,805.599976,813.950012,785.650024,788.849976,728.129456,69315
24-04-2012,SIEMENS,792,805,788.549988,796.049988,734.775208,167170
25-04-2012,SIEMENS,797,797,773,778.5,718.57605,209273
26-04-2012,SIEMENS,774.799988,780,763,773.200012,713.684143,141525
27-04-2012,SIEMENS,780,799.950012,774.799988,786.299988,725.775757,382516
30-04-2012,SIEMENS,781,785,770.599976,774.650024,715.022522,145429
02-05-2012,SIEMENS,773.549988,774.799988,761.299988,766.599976,707.592102,179590
03-05-2012,SIEMENS,761.799988,774.5,751.950012,765.549988,706.622864,167189
04-05-2012,SIEMENS,758.099976,769.25,745.049988,749.299988,691.623596,128090
07-05-2012,SIEMENS,740,770,730.049988,760.549988,702.00769,214116
08-05-2012,SIEMENS,759.200012,775,723.950012,729.849976,673.670837,222465
09-05-2012,SIEMENS,723.049988,732.799988,704,716.849976,661.671509,268834
10-05-2012,SIEMENS,710,728,710,719.650024,664.256042,276960
11-05-2012,SIEMENS,713.099976,719.799988,701,708.549988,654.010437,122953
14-05-2012,SIEMENS,705,718.150024,699,713.400024,658.487061,126576
15-05-2012,SIEMENS,706,730,702.25,724,668.271179,98920
16-05-2012,SIEMENS,710,716,701,707.400024,652.948853,165202
17-05-2012,SIEMENS,710,718.950012,681.25,690.799988,637.62677,175946
18-05-2012,SIEMENS,682.900024,699,665.5,691.299988,638.088196,169597
21-05-2012,SIEMENS,691.099976,703.950012,685,685.200012,632.457825,146444
22-05-2012,SIEMENS,688.200012,699,666.299988,670.849976,619.212219,87943
23-05-2012,SIEMENS,668.900024,674.400024,661.099976,668.400024,616.950928,136388
24-05-2012,SIEMENS,669.200012,685,666.25,682.25,629.734863,69062
25-05-2012,SIEMENS,681.599976,696,673.150024,689.549988,636.472778,140651
28-05-2012,SIEMENS,684.049988,702.599976,684.049988,686.650024,633.796204,135809
29-05-2012,SIEMENS,694.299988,695.700012,675.099976,678.75,626.504272,153810
30-05-2012,SIEMENS,671.099976,677,662.200012,664.200012,613.074158,84040
31-05-2012,SIEMENS,661,684,650,677.549988,625.396545,225869
01-06-2012,SIEMENS,672.099976,681.299988,640,644.450012,594.844421,172000
