Date,Symbol,Open,High,Low,Close,Adj Close,Volume
02-07-2001,KOTAKBANK,2.4025,2.475,2.4,2.4025,2.2264,110800
03-07-2001,KOTAKBANK,2.475,2.475,2.375,2.4,2.224083,77520
04-07-2001,KOTAKBANK,2.425,2.45,2.3875,2.42,2.242617,49360
05-07-2001,KOTAKBANK,2.45,2.4725,2.4,2.415,2.237983,62700
06-07-2001,KOTAKBANK,2.425,2.425,2.35,2.4,2.224083,117800
09-07-2001,KOTAKBANK,2.375,2.425,2.35,2.38,2.205549,142180
10-07-2001,KOTAKBANK,2.3525,2.4,2.3,2.34,2.16848,94600
11-07-2001,KOTAKBANK,2.475,2.475,2.3,2.3,2.131413,77780
12-07-2001,KOTAKBANK,2.325,2.35,2.3,2.3,2.131413,35400
13-07-2001,KOTAKBANK,2.3,2.395,2.25,2.25,2.085078,80000
16-07-2001,KOTAKBANK,2.25,2.3,2.225,2.225,2.06191,41900
17-07-2001,KOTAKBANK,2.2,2.3,2.2,2.2575,2.092028,89780
18-07-2001,KOTAKBANK,2.25,2.2725,2.105,2.245,2.080444,60800
19-07-2001,KOTAKBANK,2.235,2.25,2.205,2.2275,2.064228,69100
20-07-2001,KOTAKBANK,2.2,2.2475,2.1775,2.18,2.020209,57060
23-07-2001,KOTAKBANK,2.0825,2.2,2.0825,2.2,2.038743,2100
24-07-2001,KOTAKBANK,1.775,2.175,1.775,1.9975,1.851086,94120
25-07-2001,KOTAKBANK,1.9875,2.12,1.935,2.0825,1.929855,144780
26-07-2001,KOTAKBANK,2.1,2.1175,2.0325,2.1,1.946072,74480
27-07-2001,KOTAKBANK,2.0975,2.125,2.055,2.115,1.959973,94060
30-07-2001,KOTAKBANK,2.005,2.1125,2.005,2.0725,1.920588,67840
31-07-2001,KOTAKBANK,2.0525,2.125,2.0525,2.1,1.946072,55520
01-08-2001,KOTAKBANK,2.1025,2.15,2.1,2.1225,1.966923,89700
02-08-2001,KOTAKBANK,2.105,2.125,2.075,2.11,1.955339,37340
03-08-2001,KOTAKBANK,2.15,2.1575,2.1,2.1525,1.994724,93360
06-08-2001,KOTAKBANK,2.15,2.1625,2.15,2.15,1.992407,2022020
07-08-2001,KOTAKBANK,2.15,2.175,2.125,2.14,1.983141,126520
08-08-2001,KOTAKBANK,2.155,2.1875,2.13,2.16,2.001675,55400
09-08-2001,KOTAKBANK,2.15,2.17,2.15,2.165,2.006308,38960
10-08-2001,KOTAKBANK,2.1575,2.1725,2.15,2.15,1.992407,27680
13-08-2001,KOTAKBANK,2.2,2.2,2.15,2.15,1.992407,21700
14-08-2001,KOTAKBANK,2.175,2.1875,2.15,2.15,1.992407,78620
15-08-2001,KOTAKBANK,2.15,2.15,2.15,2.15,1.992407,0
16-08-2001,KOTAKBANK,2.15,2.195,2.15,2.155,1.997041,84280
17-08-2001,KOTAKBANK,2.15,2.175,2.15,2.15,1.992407,79700
20-08-2001,KOTAKBANK,2.15,2.17,2.15,2.15,1.992407,15700
21-08-2001,KOTAKBANK,2.15,2.1725,2.15,2.15,1.992407,34900
22-08-2001,KOTAKBANK,2.15,2.15,2.15,2.15,1.992407,0
23-08-2001,KOTAKBANK,2.145,2.1675,2.145,2.15,1.992407,64100
24-08-2001,KOTAKBANK,2.15,2.1625,2.15,2.15,1.992407,56960
27-08-2001,KOTAKBANK,2.15,2.1725,2.15,2.1625,2.003991,55880
28-08-2001,KOTAKBANK,2.15,2.1625,2.15,2.1525,1.994724,51600
29-08-2001,KOTAKBANK,2.175,2.175,2.15,2.1525,1.994724,26620
30-08-2001,KOTAKBANK,2.15,2.1625,2.15,2.15,1.992407,20160
31-08-2001,KOTAKBANK,2.15,2.175,2.15,2.155,1.997041,72440
03-09-2001,KOTAKBANK,2.1925,2.2,2.15,2.1575,1.999358,70200
04-09-2001,KOTAKBANK,2.2725,2.2725,2.15,2.15,1.992407,21020
05-09-2001,KOTAKBANK,2.15,2.1625,2.15,2.15,1.992407,49560
06-09-2001,KOTAKBANK,2.195,2.195,2.15,2.15,1.992407,75400
07-09-2001,KOTAKBANK,2.15,2.17,2.15,2.1575,1.999358,49240
10-09-2001,KOTAKBANK,2.15,2.17,2.15,2.15,1.992407,53280
11-09-2001,KOTAKBANK,2.15,2.1675,2.125,2.15,1.992407,308500
12-09-2001,KOTAKBANK,2.08,2.08,1.8,1.8875,1.749149,237560
13-09-2001,KOTAKBANK,1.925,1.945,1.8875,1.8875,1.749149,71820
14-09-2001,KOTAKBANK,1.8875,1.8875,1.575,1.605,1.487355,106140
17-09-2001,KOTAKBANK,1.5,1.5,1.325,1.365,1.264947,294160
18-09-2001,KOTAKBANK,1.3475,1.6375,1.3,1.6075,1.489672,156860
19-09-2001,KOTAKBANK,1.605,1.845,1.6025,1.7875,1.656479,150040
20-09-2001,KOTAKBANK,1.8,1.825,1.65,1.7275,1.600876,96520
21-09-2001,KOTAKBANK,1.7275,2.075,1.7275,1.89,1.751465,341000
24-09-2001,KOTAKBANK,2.095,2.095,1.9,2,1.853403,229800
25-09-2001,KOTAKBANK,2,2.01,2,2,1.853403,171660
26-09-2001,KOTAKBANK,2.01,2.045,1.9925,2.005,1.858036,129120
27-09-2001,KOTAKBANK,2.01,2.075,2,2,1.853403,69200
28-09-2001,KOTAKBANK,2.0225,2.025,2,2.0025,1.855719,92780
01-10-2001,KOTAKBANK,2,2.005,2,2,1.853403,64280
